                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.81904,                0.55506,                 1.0008,                0.99882,                0.94553,                0.96982,                0.82378,                0.73771,                0.44426,                0.94246,             0.00055378,             0.00055378,             0.00055378
                     70,                0.81983,                0.53303,                 1.0038,                0.99322,                0.94893,                0.97075,                0.84025,                 0.7101,                0.45651,                0.94075,             0.00055142,             0.00055142,             0.00055142
                     71,                0.81724,                0.53448,                0.98803,                      1,                0.94884,                0.97186,                0.83178,                0.71968,                0.44225,                0.94873,             0.00054907,             0.00054907,             0.00054907
                     72,                0.77993,                0.52196,                0.97815,                0.99596,                0.96171,                0.97669,                0.84808,                0.71192,                0.43076,                0.95252,             0.00054671,             0.00054671,             0.00054671
                     73,                0.83545,                0.54889,                0.99749,                0.99896,                 0.9504,                  0.973,                0.83616,                  0.723,                0.43165,                0.96476,             0.00054435,             0.00054435,             0.00054435
                     74,                 0.8052,                0.51475,                0.97432,                      1,                0.94783,                0.97183,                0.84314,                0.70243,                0.42545,                0.94852,               0.000542,               0.000542,               0.000542
                     75,                0.78524,                0.51959,                0.98124,                0.99763,                0.95539,                 0.9749,                0.85543,                0.67674,                0.42171,                0.93707,             0.00053964,             0.00053964,             0.00053964
                     76,                0.81869,                0.55668,                 1.0168,                0.99766,                0.93791,                0.96682,                0.84459,                0.68847,                0.42651,                0.93118,             0.00053728,             0.00053728,             0.00053728
                     77,                0.76314,                0.51849,                0.98837,                0.99748,                0.94065,                0.96774,                0.84618,                 0.6939,                0.42124,                0.93358,             0.00053493,             0.00053493,             0.00053493
                     78,                0.74696,                 0.5318,                0.97527,                0.99794,                0.94763,                0.97093,                0.84539,                0.70401,                0.42601,                0.93479,             0.00053257,             0.00053257,             0.00053257
                     79,                0.74924,                0.51012,                0.97044,                0.99261,                0.95376,                0.97005,                0.85471,                0.67381,                0.41898,                0.91912,             0.00053022,             0.00053022,             0.00053022
                     80,                0.74372,                0.49256,                0.96466,                0.98716,                0.96416,                0.97918,                0.85923,                0.66517,                0.41644,                0.91445,             0.00052786,             0.00052786,             0.00052786
                     81,                0.74816,                 0.4945,                0.94651,                0.99444,                0.96781,                0.98059,                0.84275,                0.68519,                0.41885,                0.92132,              0.0005255,              0.0005255,              0.0005255
                     82,                0.78958,                0.51149,                 0.9717,                0.99796,                0.94024,                0.96779,                0.84068,                0.68091,                0.41779,                0.92181,             0.00052315,             0.00052315,             0.00052315
                     83,                0.74632,                0.48992,                0.95564,                0.99505,                0.96217,                0.97841,                0.85634,                0.66284,                0.41428,                0.91421,             0.00052079,             0.00052079,             0.00052079
                     84,                0.79846,                0.52279,                0.98194,                0.99792,                0.96001,                0.97698,                0.85501,                 0.6615,                0.40889,                0.91362,             0.00051844,             0.00051844,             0.00051844
                     85,                0.72545,                0.46716,                0.95079,                0.99796,                0.97239,                0.98189,                0.86444,                0.64901,                0.40493,                0.90967,             0.00051608,             0.00051608,             0.00051608
                     86,                0.72565,                0.48003,                 0.9418,                0.99785,                0.96496,                 0.9792,                0.86258,                0.63227,                0.40212,                0.90639,             0.00051372,             0.00051372,             0.00051372
                     87,                0.70993,                0.48249,                0.95243,                0.99783,                0.95905,                0.97626,                0.86457,                   0.62,                0.39857,                0.90148,             0.00051137,             0.00051137,             0.00051137
                     88,                0.72875,                0.48319,                0.96306,                0.99899,                0.97181,                0.98239,                0.86494,                0.63266,                0.39068,                0.90424,             0.00050901,             0.00050901,             0.00050901
